label,Pitch,Duty,Height,T
1,200,0.4,200,90.33815295
2,200,0.48,200,90.20788519
3,200,0.56,200,90.14279252
4,200,0.64,200,90.12708563
5,200,0.72,200,90.14389026
6,200,0.8,200,90.1666419
7,200,0.4,240,90.43770629
8,200,0.48,240,90.66716952
9,200,0.56,240,90.87019182
10,200,0.64,240,91.00811376
11,200,0.72,240,91.03532439
12,200,0.8,240,90.94052321
13,200,0.4,280,92.11677074
14,200,0.48,280,92.42752534
15,200,0.56,280,92.5183782
16,200,0.64,280,92.40138204
17,200,0.72,280,92.09695893
18,200,0.8,280,91.64793506
19,200,0.4,320,93.40331439
20,200,0.48,320,93.27544906
21,200,0.56,320,92.88793895
22,200,0.64,320,92.35119407
23,200,0.72,320,91.77443303
24,200,0.8,320,91.21555637
25,200,0.4,360,92.70366577
26,200,0.48,360,92.10013983
27,200,0.56,360,91.47615209
28,200,0.64,360,90.93817184
29,200,0.72,360,90.55516804
30,200,0.8,360,90.31336938
31,200,0.4,400,90.90083981
32,200,0.48,400,90.44445021
33,200,0.56,400,90.2005767
34,200,0.64,400,90.14207427
35,200,0.72,400,90.20156812
36,200,0.8,400,90.28954658
37,240,0.4,200,90.3116112
38,240,0.48,200,90.18805085
39,240,0.56,200,90.13578067
40,240,0.64,200,90.13367373
41,240,0.72,200,90.15499166
42,240,0.8,200,90.17629855
43,240,0.4,240,90.48410102
44,240,0.48,240,90.72762063
45,240,0.56,240,90.93229304
46,240,0.64,240,91.05142744
47,240,0.72,240,91.06037053
48,240,0.8,240,90.94920973
49,240,0.4,280,92.19301006
50,240,0.48,280,92.48184529
51,240,0.56,280,92.53871285
52,240,0.64,280,92.3842151
53,240,0.72,280,92.06162184
54,240,0.8,280,91.61357806
55,240,0.4,320,93.40616928
56,240,0.48,320,93.21798407
57,240,0.56,320,92.78924214
58,240,0.64,320,92.24705037
59,240,0.72,320,91.68524638
60,240,0.8,320,91.15858584
61,240,0.4,360,92.60483518
62,240,0.48,360,91.96350231
63,240,0.56,360,91.3432294
64,240,0.64,360,90.84638331
65,240,0.72,360,90.50014774
66,240,0.8,360,90.28994344
67,240,0.4,400,90.80713055
68,240,0.48,400,90.37473017
69,240,0.56,400,90.17323949
70,240,0.64,400,90.15194697
71,240,0.72,400,90.22468315
72,240,0.8,400,90.30834977
73,280,0.4,200,90.28132532
74,280,0.48,200,90.16883378
75,280,0.56,200,90.13590394
76,280,0.64,200,90.15067779
77,280,0.72,200,90.18043025
78,280,0.8,200,90.2012147
79,280,0.4,240,90.55932947
80,280,0.48,240,90.82402471
81,280,0.56,240,91.03186284
82,280,0.64,240,91.13761986
83,280,0.72,240,91.12429857
84,280,0.8,240,90.99151462
85,280,0.4,280,92.29723606
86,280,0.48,280,92.55726354
87,280,0.56,280,92.57003487
88,280,0.64,280,92.37606151
89,280,0.72,280,92.03134431
90,280,0.8,280,91.58125161
91,280,0.4,320,93.3961579
92,280,0.48,320,93.13059819
93,280,0.56,320,92.65185424
94,280,0.64,320,92.09903073
95,280,0.72,320,91.55894184
96,280,0.8,320,91.07036432
97,280,0.4,360,92.46313765
98,280,0.48,360,91.77968208
99,280,0.56,360,91.16978591
100,280,0.64,360,90.71571238
101,280,0.72,360,90.41982027
102,280,0.8,360,90.25002839
103,280,0.4,400,90.69226899
104,280,0.48,400,90.29834737
105,280,0.56,400,90.15383872
106,280,0.64,400,90.17701619
107,280,0.72,400,90.26873556
108,280,0.8,400,90.34995693
109,320,0.4,200,90.24838595
110,320,0.48,200,90.16696799
111,320,0.56,200,90.168177
112,320,0.64,200,90.20924077
113,320,0.72,200,90.24889404
114,320,0.8,200,90.25569211
115,320,0.4,240,90.69938604
116,320,0.48,240,91.01203341
117,320,0.56,240,91.22421405
118,320,0.64,240,91.30632995
119,320,0.72,240,91.24436525
120,320,0.8,240,91.06348058
121,320,0.4,280,92.45814098
122,320,0.48,280,92.68248191
123,320,0.56,280,92.63041896
124,320,0.64,280,92.37825853
125,320,0.72,280,91.99947816
126,320,0.8,280,91.54938602
127,320,0.4,320,93.3611501
128,320,0.48,320,92.98535254
129,320,0.56,320,92.44317275
130,320,0.64,320,91.88096071
131,320,0.72,320,91.38942868
132,320,0.8,320,90.968943
133,320,0.4,360,92.24792122
134,320,0.48,360,91.51401654
135,320,0.56,360,90.93115018
136,320,0.64,360,90.54191882
137,320,0.72,360,90.32963293
138,320,0.8,360,90.21638542
139,320,0.4,400,90.55061019
140,320,0.48,400,90.22696118
141,320,0.56,400,90.16637306
142,320,0.64,400,90.2485002
143,320,0.72,400,90.35820532
144,320,0.8,400,90.41746351
145,360,0.4,200,89.33103846
146,360,0.48,200,89.32482567
147,360,0.56,200,89.50125676
148,360,0.64,200,89.72997825
149,360,0.72,200,89.90843034
150,360,0.8,200,90.02101848
151,360,0.4,240,90.18035586
152,360,0.48,240,90.51952473
153,360,0.56,240,90.78117789
154,360,0.64,240,90.91416937
155,360,0.72,240,90.91288331
156,360,0.8,240,90.79895201
157,360,0.4,280,91.71254746
158,360,0.48,280,91.76312606
159,360,0.56,280,91.64880895
160,360,0.64,280,91.44271798
161,360,0.72,280,91.21199849
162,360,0.8,280,90.95612301
163,360,0.4,320,92.07286186
164,360,0.48,320,91.48623712
165,360,0.56,320,90.98251964
166,360,0.64,320,90.62848838
167,360,0.72,320,90.42190178
168,360,0.8,320,90.29719061
169,360,0.4,360,90.8542178
170,360,0.48,360,90.12551312
171,360,0.56,360,89.76876495
172,360,0.64,360,89.68648154
173,360,0.72,360,89.74355999
174,360,0.8,360,89.84949517
175,360,0.4,400,89.64144128
176,360,0.48,400,89.49820511
177,360,0.56,400,89.66909066
178,360,0.64,400,89.93917543
179,360,0.72,400,90.15405095
180,360,0.8,400,90.275667
181,400,0.4,200,78.29088888
182,400,0.48,200,78.35250466
183,400,0.56,200,79.50078318
184,400,0.64,200,81.0670459
185,400,0.72,200,82.74901838
186,400,0.8,200,84.54437055
187,400,0.4,240,79.34434966
188,400,0.48,240,79.77519909
189,400,0.56,240,80.9973952
190,400,0.64,240,82.43271894
191,400,0.72,240,83.86218631
192,400,0.8,240,85.25589155
193,400,0.4,280,81.50366893
194,400,0.48,280,81.81640317
195,400,0.56,280,82.78176107
196,400,0.64,280,83.96518597
197,400,0.72,280,85.18751309
198,400,0.8,280,86.37013394
199,400,0.4,320,83.11153588
200,400,0.48,320,83.0361349
201,400,0.56,320,83.70166543
202,400,0.64,320,84.74393578
203,400,0.72,320,85.95177876
204,400,0.8,320,87.23645172
205,400,0.4,360,83.32696728
206,400,0.48,360,83.12071285
207,400,0.56,360,83.77550489
208,400,0.64,360,84.89937523
209,400,0.72,360,86.24085002
210,400,0.8,360,87.77788888
211,400,0.4,400,82.83022423
212,400,0.48,400,82.89584729
213,400,0.56,400,83.7582847
214,400,0.64,400,85.01132381
215,400,0.72,400,86.42934965
216,400,0.8,400,88.10264681
