label,Pitch,Duty,Height,T
1,200,0.4,200,92.97139729
2,200,0.48,200,92.73886386
3,200,0.56,200,92.39066627
4,200,0.64,200,91.97111446
5,200,0.72,200,91.52787757
6,200,0.8,200,91.08020898
7,200,0.4,240,91.86927316
8,200,0.48,240,91.57395834
9,200,0.56,240,91.2484636
10,200,0.64,240,90.92678202
11,200,0.72,240,90.64554829
12,200,0.8,240,90.41014879
13,200,0.4,280,90.67307161
14,200,0.48,280,90.45203603
15,200,0.56,280,90.27256491
16,200,0.64,280,90.1432139
17,200,0.72,280,90.06867547
18,200,0.8,280,90.034895
19,200,0.4,320,90.03397902
20,200,0.48,320,90.01335213
21,200,0.56,320,90.04612584
22,200,0.64,320,90.11049849
23,200,0.72,320,90.17476344
24,200,0.8,320,90.21010991
25,200,0.4,360,90.28136781
26,200,0.48,360,90.49525349
27,200,0.56,360,90.69651563
28,200,0.64,360,90.84365257
29,200,0.72,360,90.88843842
30,200,0.8,360,90.80769424
31,200,0.4,400,91.2851388
32,200,0.48,400,91.62944874
33,200,0.56,400,91.83700643
34,200,0.64,400,91.87764824
35,200,0.72,400,91.72902052
36,200,0.8,400,91.40264261
37,240,0.4,200,92.95849338
38,240,0.48,200,92.71130188
39,240,0.56,200,92.35417656
40,240,0.64,200,91.93892749
41,240,0.72,200,91.50120688
42,240,0.8,200,91.06297014
43,240,0.4,240,91.84834403
44,240,0.48,240,91.54414022
45,240,0.56,240,91.2158278
46,240,0.64,240,90.90352063
47,240,0.72,240,90.62903624
48,240,0.8,240,90.40119381
49,240,0.4,280,90.65491937
50,240,0.48,280,90.4332221
51,240,0.56,280,90.25675616
52,240,0.64,280,90.1356102
53,240,0.72,280,90.06528219
54,240,0.8,280,90.03402475
55,240,0.4,320,90.03043721
56,240,0.48,320,90.01465149
57,240,0.56,320,90.05207703
58,240,0.64,320,90.11695344
59,240,0.72,320,90.17969319
60,240,0.8,320,90.21210206
61,240,0.4,360,90.29773189
62,240,0.48,360,90.51587337
63,240,0.56,360,90.71703678
64,240,0.64,360,90.85384905
65,240,0.72,360,90.89099644
66,240,0.8,360,90.8050978
67,240,0.4,400,91.31567519
68,240,0.48,400,91.65602828
69,240,0.56,400,91.85399242
70,240,0.64,400,91.8770378
71,240,0.72,400,91.71878203
72,240,0.8,400,91.39047909
73,280,0.4,200,92.94220329
74,280,0.48,200,92.67664161
75,280,0.56,200,92.30854936
76,280,0.64,200,91.89127282
77,280,0.72,200,91.45894079
78,280,0.8,200,91.03025851
79,280,0.4,240,91.82327629
80,280,0.48,240,91.5076763
81,280,0.56,240,91.1755011
82,280,0.64,240,90.86628413
83,280,0.72,240,90.59894541
84,280,0.8,240,90.37916788
85,280,0.4,280,90.63393043
86,280,0.48,280,90.41087169
87,280,0.56,280,90.23792112
88,280,0.64,280,90.12255747
89,280,0.72,280,90.05807486
90,280,0.8,280,90.03111377
91,280,0.4,320,90.02707677
92,280,0.48,320,90.01723566
93,280,0.56,320,90.06025039
94,280,0.64,320,90.12853054
95,280,0.72,320,90.19204005
96,280,0.8,320,90.22403434
97,280,0.4,360,90.31775014
98,280,0.48,360,90.54133988
99,280,0.56,360,90.74259702
100,280,0.64,360,90.87508364
101,280,0.72,360,90.90635
102,280,0.8,360,90.81671569
103,280,0.4,400,91.35183147
104,280,0.48,400,91.68761145
105,280,0.56,400,91.87422039
106,280,0.64,400,91.88412535
107,280,0.72,400,91.71662369
108,280,0.8,400,91.3859819
109,320,0.4,200,92.92309036
110,320,0.48,200,92.63234884
111,320,0.56,200,92.25133624
112,320,0.64,200,91.83141119
113,320,0.72,200,91.41380823
114,320,0.8,200,91.0031804
115,320,0.4,240,91.79568934
116,320,0.48,240,91.46230958
117,320,0.56,240,91.12564546
118,320,0.64,240,90.82010036
119,320,0.72,240,90.56986195
120,320,0.8,240,90.36405193
121,320,0.4,280,90.61118408
122,320,0.48,280,90.38413244
123,320,0.56,280,90.21540043
124,320,0.64,280,90.10732239
125,320,0.72,280,90.05296007
126,320,0.8,280,90.03043496
127,320,0.4,320,90.02333374
128,320,0.48,320,90.02161036
129,320,0.56,320,90.07178556
130,320,0.64,320,90.14418576
131,320,0.72,320,90.20429807
132,320,0.8,320,90.2308085
133,320,0.4,360,90.33907725
134,320,0.48,360,90.57345306
135,320,0.56,360,90.77534984
136,320,0.64,360,90.90240533
137,320,0.72,360,90.91793382
138,320,0.8,360,90.81882352
