label,Pitch,Duty,Height,T
1,200,0.4,200,90.16250404
2,200,0.48,200,90.153032
3,200,0.56,200,90.1973232
4,200,0.64,200,90.26501429
5,200,0.72,200,90.32210777
6,200,0.8,200,90.3424782
7,200,0.4,240,91.03066907
8,200,0.48,240,91.34760103
9,200,0.56,240,91.55795548
10,200,0.64,240,91.63499265
11,200,0.72,240,91.55098492
12,200,0.8,240,91.31675111
13,200,0.4,280,92.93193381
14,200,0.48,280,93.08225969
15,200,0.56,280,92.96012968
16,200,0.64,280,92.62987411
17,200,0.72,280,92.16544673
18,200,0.8,280,91.6244058
19,200,0.4,320,93.30761666
20,200,0.48,320,92.8707596
21,200,0.56,320,92.28633286
22,200,0.64,320,91.68176855
23,200,0.72,320,91.16259019
24,200,0.8,320,90.74826593
25,200,0.4,360,91.63200969
26,200,0.48,360,91.02471751
27,200,0.56,360,90.56751689
28,200,0.64,360,90.28909611
29,200,0.72,360,90.17362352
30,200,0.8,360,90.15254882
31,200,0.4,400,90.20244193
32,200,0.48,400,90.17037561
33,200,0.56,400,90.33400291
34,200,0.64,400,90.57134648
35,200,0.72,400,90.75521493
36,200,0.8,400,90.80728633
37,240,0.4,200,90.16002749
38,240,0.48,200,90.16735307
39,240,0.56,200,90.2277997
40,240,0.64,200,90.3012808
41,240,0.72,200,90.35411766
42,240,0.8,200,90.36336847
43,240,0.4,240,91.11280741
44,240,0.48,240,91.43546002
45,240,0.56,240,91.6323188
46,240,0.64,240,91.67491484
47,240,0.72,240,91.56435561
48,240,0.8,240,91.31351591
49,240,0.4,280,92.9923793
50,240,0.48,280,93.09141157
51,240,0.56,280,92.91838926
52,240,0.64,280,92.55698353
53,240,0.72,280,92.08728946
54,240,0.8,280,91.56561869
55,240,0.4,320,93.23580112
56,240,0.48,320,92.73301434
57,240,0.56,320,92.125502
58,240,0.64,320,91.54816451
59,240,0.72,320,91.06591427
60,240,0.8,320,90.69529897
61,240,0.4,360,91.49940828
62,240,0.48,360,90.89272844
63,240,0.56,360,90.47435718
64,240,0.64,360,90.24975191
65,240,0.72,360,90.16643215
66,240,0.8,360,90.15931892
67,240,0.4,400,90.18051011
68,240,0.48,400,90.2044513
69,240,0.56,400,90.40796405
70,240,0.64,400,90.64659487
71,240,0.72,400,90.80958725
72,240,0.8,400,90.83196205
73,280,0.4,200,90.17326634
74,280,0.48,200,90.20872603
75,280,0.56,200,90.29471761
76,280,0.64,200,90.37995664
77,280,0.72,200,90.42846297
78,280,0.8,200,90.42169892
79,280,0.4,240,91.24843177
80,280,0.48,240,91.58099992
81,280,0.56,240,91.75909751
82,280,0.64,240,91.76695479
83,280,0.72,240,91.62057596
84,280,0.8,240,91.34362011
85,280,0.4,280,93.06978439
86,280,0.48,280,93.0976226
87,280,0.56,280,92.85729301
88,280,0.64,280,92.45725369
89,280,0.72,280,91.9835666
90,280,0.8,280,91.48410487
91,280,0.4,320,93.11361217
