label,Pitch,Duty,Height,T
1,200,0.4,200,92.51243203
2,200,0.48,200,92.22470962
3,200,0.56,200,91.86554187
4,200,0.64,200,91.47577721
5,200,0.72,200,91.10182636
6,200,0.8,200,90.75434839
7,200,0.4,240,91.14464597
8,200,0.48,240,90.86780099
9,200,0.56,240,90.61129583
10,200,0.64,240,90.39423379
11,200,0.72,240,90.23542893
12,200,0.8,240,90.12713557
13,200,0.4,280,90.16016653
14,200,0.48,280,90.06340956
15,200,0.56,280,90.02552816
16,200,0.64,280,90.03267574
17,200,0.72,280,90.0628048
18,200,0.8,280,90.09009316
19,200,0.4,320,90.18199168
20,200,0.48,320,90.34859751
21,200,0.56,320,90.5215313
22,200,0.64,320,90.66218444
23,200,0.72,320,90.72316476
24,200,0.8,320,90.67950404
25,200,0.4,360,91.19874701
26,200,0.48,360,91.53897424
27,200,0.56,360,91.75591472
28,200,0.64,360,91.81794596
29,200,0.72,360,91.69944055
30,200,0.8,360,91.40847846
31,200,0.4,400,92.56849567
32,200,0.48,400,92.8240089
33,200,0.56,400,92.82677254
34,200,0.64,400,92.60008627
35,200,0.72,400,92.18802551
36,200,0.8,400,91.64731316
37,240,0.4,200,92.4898825
38,240,0.48,200,92.18676192
39,240,0.56,200,91.82000002
40,240,0.64,200,91.43891999
41,240,0.72,200,91.07290069
42,240,0.8,200,90.7367613
43,240,0.4,240,91.11918678
44,240,0.48,240,90.83703619
45,240,0.56,240,90.58167832
46,240,0.64,240,90.3757455
47,240,0.72,240,90.22412145
48,240,0.8,240,90.12198049
49,240,0.4,280,90.14903839
50,240,0.48,280,90.05676553
51,240,0.56,280,90.02488407
52,240,0.64,280,90.0362858
53,240,0.72,280,90.06711229
54,240,0.8,280,90.09285604
55,240,0.4,320,90.19662183
56,240,0.48,320,90.36957617
57,240,0.56,320,90.544546
58,240,0.64,320,90.67642491
59,240,0.72,320,90.72967365
60,240,0.8,320,90.67962649
61,240,0.4,360,91.23452785
62,240,0.48,360,91.5718336
63,240,0.56,360,91.77871545
64,240,0.64,360,91.82113091
65,240,0.72,360,91.69092303
66,240,0.8,360,91.39632767
67,240,0.4,400,92.60264624
68,240,0.48,400,92.83883123
69,240,0.56,400,92.8194916
70,240,0.64,400,92.57469673
71,240,0.72,400,92.15696243
72,240,0.8,400,91.62270267
73,280,0.4,200,92.46103074
74,280,0.48,200,92.13816065
75,280,0.56,200,91.76202928
76,280,0.64,200,91.38226269
77,280,0.72,200,91.02514271
78,280,0.8,200,90.70122061
79,280,0.4,240,91.08813571
80,280,0.48,240,90.79902689
81,280,0.56,240,90.54499687
82,280,0.64,240,90.34598067
83,280,0.72,240,90.20320081
84,280,0.8,240,90.10893163
85,280,0.4,280,90.13676455
86,280,0.48,280,90.04987072
87,280,0.56,280,90.02536761
88,280,0.64,280,90.04280596
89,280,0.72,280,90.07679342
90,280,0.8,280,90.10342712
91,280,0.4,320,90.21549187
92,280,0.48,320,90.39673713
93,280,0.56,320,90.57443813
94,280,0.64,320,90.70326636
95,280,0.72,320,90.75061727
96,280,0.8,320,90.69572366
97,280,0.4,360,91.27756355
98,280,0.48,360,91.61185022
99,280,0.56,360,91.80683058
100,280,0.64,360,91.83425267
101,280,0.72,360,91.69246935
102,280,0.8,360,91.39372179
103,280,0.4,400,92.64163179
104,280,0.48,400,92.85440885
105,280,0.56,400,92.80884403
106,280,0.64,400,92.54502884
107,280,0.72,400,92.12092504
108,280,0.8,400,91.59186983
109,320,0.4,200,92.42588434
110,320,0.48,200,92.07462869
111,320,0.56,200,91.68741349
112,320,0.64,200,91.3093257
113,320,0.72,200,90.97374639
114,320,0.8,200,90.67167483
115,320,0.4,240,91.05187523
116,320,0.48,240,90.75103817
117,320,0.56,240,90.4990251
118,320,0.64,240,90.30883101
119,320,0.72,240,90.1835425
120,320,0.8,240,90.10043889
121,320,0.4,280,90.12282455
122,320,0.48,280,90.04331352
123,320,0.56,280,90.02833715
124,320,0.64,280,90.05349126
125,320,0.72,280,90.08909512
126,320,0.8,280,90.11203616
127,320,0.4,320,90.23708558
128,320,0.48,320,90.43316133
129,320,0.56,320,90.61477514
130,320,0.64,320,90.73985406
131,320,0.72,320,90.7709802
132,320,0.8,320,90.70384651
133,320,0.4,360,91.32475741
134,320,0.48,360,91.66209533
135,320,0.56,360,91.84308594
136,320,0.64,360,91.85191061
137,320,0.72,360,91.68822705
138,320,0.8,360,91.38291564
139,320,0.4,400,92.68156328
140,320,0.48,400,92.87102607
141,320,0.56,400,92.79438478
142,320,0.64,400,92.50746966
143,320,0.72,400,92.07587717
144,320,0.8,400,91.55871325
145,360,0.4,200,92.37407243
146,360,0.48,200,91.98952661
147,360,0.56,200,91.58949575
148,360,0.64,200,91.22255312
149,360,0.72,200,90.90196389
150,360,0.8,200,90.62068597
151,360,0.4,240,91.00325461
152,360,0.48,240,90.69003012
153,360,0.56,240,90.44159451
154,360,0.64,240,90.26935059
155,360,0.72,240,90.15588319
156,360,0.8,240,90.08493674
157,360,0.4,280,90.10950112
158,360,0.48,280,90.03961249
159,360,0.56,280,90.03742955
160,360,0.64,280,90.07315611
161,360,0.72,280,90.11115085
162,360,0.8,280,90.1315846
