label,Pitch,Duty,Height,T
1,200,0.4,200,90.75131166
2,200,0.48,200,90.51815224
3,200,0.56,200,90.33731074
4,200,0.64,200,90.21058984
5,200,0.72,200,90.14134006
6,200,0.8,200,90.108892
7,200,0.4,240,90.13184365
8,200,0.48,240,90.21337519
9,200,0.56,240,90.32788463
10,200,0.64,240,90.44127909
11,200,0.72,240,90.51061747
12,200,0.8,240,90.51123018
13,200,0.4,280,91.20521648
14,200,0.48,280,91.53963573
15,200,0.56,280,91.75133529
16,200,0.64,280,91.81372771
17,200,0.72,280,91.70256738
18,200,0.8,280,91.42957378
19,200,0.4,320,92.90045473
20,200,0.48,320,93.07791828
21,200,0.56,320,92.98301951
22,200,0.64,320,92.66844817
23,200,0.72,320,92.20090102
24,200,0.8,320,91.64177026
25,200,0.4,360,93.41238307
26,200,0.48,360,93.0728264
27,200,0.56,360,92.53261565
28,200,0.64,360,91.91846984
29,200,0.72,360,91.34295405
30,200,0.8,360,90.85010535
31,200,0.4,400,92.16762326
32,200,0.48,400,91.52573117
33,200,0.56,400,90.94611845
34,200,0.64,400,90.50788685
35,200,0.72,400,90.24235703
36,200,0.8,400,90.1124484
37,240,0.4,200,90.7135756
38,240,0.48,200,90.47762036
39,240,0.56,200,90.30372353
40,240,0.64,200,90.19339913
41,240,0.72,200,90.13360338
42,240,0.8,200,90.10717702
43,240,0.4,240,90.14370631
44,240,0.48,240,90.23822331
45,240,0.56,240,90.36142157
46,240,0.64,240,90.47049191
47,240,0.72,240,90.53174193
48,240,0.8,240,90.52193212
49,240,0.4,280,91.26555401
50,240,0.48,280,91.59901512
51,240,0.56,280,91.79642604
52,240,0.64,280,91.82983977
53,240,0.72,280,91.69913103
54,240,0.8,280,91.41712667
55,240,0.4,320,92.94789067
56,240,0.48,320,93.08799529
57,240,0.56,320,92.95492208
58,240,0.64,320,92.61522464
59,240,0.72,320,92.1426659
60,240,0.8,320,91.59769119
61,240,0.4,360,93.37965307
62,240,0.48,360,92.98849059
63,240,0.56,360,92.42338002
64,240,0.64,360,91.82147924
65,240,0.72,360,91.26921761
66,240,0.8,360,90.80818706
67,240,0.4,400,92.07224938
68,240,0.48,400,91.41343615
69,240,0.56,400,90.85018132
70,240,0.64,400,90.45164993
71,240,0.72,400,90.21560378
72,240,0.8,400,90.10526814
73,280,0.4,200,90.66463922
74,280,0.48,200,90.42549893
75,280,0.56,200,90.26188125
76,280,0.64,200,90.16737674
77,280,0.72,200,90.12183824
78,280,0.8,200,90.10465442
79,280,0.4,240,90.16582838
80,280,0.48,240,90.27897978
81,280,0.56,240,90.41437235
82,280,0.64,240,90.52511094
83,280,0.72,240,90.57887714
84,280,0.8,240,90.55767054
85,280,0.4,280,91.3483922
86,280,0.48,280,91.68156174
87,280,0.56,280,91.86121421
88,280,0.64,280,91.86908887
89,280,0.72,280,91.71587575
90,280,0.8,280,91.42160596
91,280,0.4,320,93.00359209
92,280,0.48,320,93.09601029
93,280,0.56,320,92.91584696
94,280,0.64,320,92.54712174
95,280,0.72,320,92.06966664
96,280,0.8,320,91.53895941
97,280,0.4,360,93.326042
98,280,0.48,360,92.87204543
99,280,0.56,360,92.27868297
100,280,0.64,360,91.68463498
101,280,0.72,360,91.16333317
102,280,0.8,360,90.73972965
103,280,0.4,400,91.94603575
104,280,0.48,400,91.27144461
105,280,0.56,400,90.73217303
106,280,0.64,400,90.37545142
107,280,0.72,400,90.17860483
108,280,0.8,400,90.09419943
109,320,0.4,200,90.59672378
110,320,0.48,200,90.35774649
111,320,0.56,200,90.21188517
112,320,0.64,200,90.14110649
113,320,0.72,200,90.12051525
114,320,0.8,200,90.11223447
115,320,0.4,240,90.20594533
116,320,0.48,240,90.35623136
117,320,0.56,240,90.509993
118,320,0.64,240,90.62215709
119,320,0.72,240,90.65530015
120,320,0.8,240,90.60550021
121,320,0.4,280,91.46682751
122,320,0.48,280,91.81088602
123,320,0.56,280,91.96663822
124,320,0.64,280,91.9384388
125,320,0.72,280,91.74446862
126,320,0.8,280,91.4285224
127,320,0.4,320,93.07015404
128,320,0.48,320,93.10287576
129,320,0.56,320,92.86184081
130,320,0.64,320,92.45550971
131,320,0.72,320,91.9771003
132,320,0.8,320,91.4748695
133,320,0.4,360,93.24032955
134,320,0.48,360,92.70393686
135,320,0.56,360,92.07994772
136,320,0.64,360,91.49952534
137,320,0.72,360,91.03456762
138,320,0.8,360,90.67030856
139,320,0.4,400,91.77797319
