label,Pitch,Duty,Height,T
1,200,0.4,200,93.48290975
2,200,0.48,200,93.41948952
3,200,0.56,200,93.18830429
4,200,0.64,200,92.82524753
5,200,0.72,200,92.36402145
6,200,0.8,200,91.8280574
7,200,0.4,240,93.27307972
8,200,0.48,240,93.09852548
9,200,0.56,240,92.78524081
10,200,0.64,240,92.37731446
11,200,0.72,240,91.91881007
12,200,0.8,240,91.43478893
13,200,0.4,280,92.50267826
14,200,0.48,280,92.23889521
15,200,0.56,280,91.89801536
16,200,0.64,280,91.52218841
17,200,0.72,280,91.15373091
18,200,0.8,280,90.81045321
19,200,0.4,320,91.46055044
20,200,0.48,320,91.17876617
21,200,0.56,320,90.88976861
22,200,0.64,320,90.62310079
23,200,0.72,320,90.4038757
24,200,0.8,320,90.23604465
25,200,0.4,360,90.51952933
26,200,0.48,360,90.31467581
27,200,0.56,360,90.15362669
28,200,0.64,360,90.04456818
29,200,0.72,360,89.98634731
30,200,0.8,360,89.96511076
31,200,0.4,400,89.99637703
32,200,0.48,400,89.95078212
33,200,0.56,400,89.96172321
34,200,0.64,400,90.01278561
35,200,0.72,400,90.07550575
36,200,0.8,400,90.12136126
37,240,0.4,200,93.48376751
38,240,0.48,200,93.41097743
39,240,0.56,200,93.17272316
40,240,0.64,200,92.80750439
41,240,0.72,200,92.34729907
42,240,0.8,200,91.81631811
43,240,0.4,240,93.26779701
44,240,0.48,240,93.08387765
45,240,0.56,240,92.76450605
46,240,0.64,240,92.35842094
47,240,0.72,240,91.90283874
48,240,0.8,240,91.42455699
49,240,0.4,280,92.49164604
50,240,0.48,280,92.22083785
51,240,0.56,280,91.87632722
52,240,0.64,280,91.50577367
53,240,0.72,280,91.14164067
54,240,0.8,280,90.80350123
55,240,0.4,320,91.44706242
56,240,0.48,320,91.16202634
57,240,0.56,320,90.87287908
58,240,0.64,320,90.61243331
59,240,0.72,320,90.39734247
60,240,0.8,320,90.2328311
61,240,0.4,360,90.50882396
62,240,0.48,360,90.30418478
63,240,0.56,360,90.14531813
64,240,0.64,360,90.04069708
65,240,0.72,360,89.98468761
66,240,0.8,360,89.9646912
67,240,0.4,400,89.99247912
68,240,0.48,400,89.94948322
69,240,0.56,400,89.9634835
70,240,0.64,400,90.01498769
71,240,0.72,400,90.07718577
72,240,0.8,400,90.12185685
73,280,0.4,200,93.48326899
74,280,0.48,200,93.39907567
75,280,0.56,200,93.15259655
76,280,0.64,200,92.78391006
77,280,0.72,200,92.3248974
78,280,0.8,200,91.79898201
79,280,0.4,240,93.26085245
80,280,0.48,240,93.06573599
81,280,0.56,240,92.73888308
82,280,0.64,240,92.33046415
83,280,0.72,240,91.8773036
84,280,0.8,240,91.40399786
85,280,0.4,280,92.47870211
86,280,0.48,280,92.1991557
87,280,0.56,280,91.85017762
88,280,0.64,280,91.47974596
89,280,0.72,280,91.11897261
90,280,0.8,280,90.78552461
91,280,0.4,320,91.43146157
92,280,0.48,320,91.14205885
93,280,0.56,320,90.85223163
94,280,0.64,320,90.59450202
95,280,0.72,320,90.38352493
96,280,0.8,320,90.22301234
97,280,0.4,360,90.49607256
98,280,0.48,360,90.29174041
99,280,0.56,360,90.13570444
100,280,0.64,360,90.03465276
101,280,0.72,360,89.98216333
102,280,0.8,360,89.96445013
103,280,0.4,400,89.98803029
104,280,0.48,400,89.94825135
105,280,0.56,400,89.96580188
106,280,0.64,400,90.01975586
107,280,0.72,400,90.0833576
108,280,0.8,400,90.12884117
109,320,0.4,200,93.48053944
110,320,0.48,200,93.38353691
111,320,0.56,200,93.12704801
112,320,0.64,200,92.75361331
113,320,0.72,200,92.29768595
114,320,0.8,200,91.78108926
115,320,0.4,240,93.25270099
116,320,0.48,240,93.0421023
117,320,0.56,240,92.70656799
118,320,0.64,240,92.29510836
119,320,0.72,240,91.85008359
