label,Pitch,Duty,Height,T
1,200,0.4,200,91.28560134
2,200,0.48,200,90.99775201
3,200,0.56,200,90.7306221
4,200,0.64,200,90.50230542
5,200,0.72,200,90.33597599
6,200,0.8,200,90.22032016
7,200,0.4,240,90.156706
8,200,0.48,240,90.09222231
9,200,0.56,240,90.08633275
10,200,0.64,240,90.11960761
11,200,0.72,240,90.16504921
12,200,0.8,240,90.19597896
13,200,0.4,280,90.44329579
14,200,0.48,280,90.68191766
15,200,0.56,280,90.88923451
16,200,0.64,280,91.02598051
17,200,0.72,280,91.04640927
18,200,0.8,280,90.9364593
19,200,0.4,320,91.89564515
20,200,0.48,320,92.22347529
21,200,0.56,320,92.35318601
22,200,0.64,320,92.28176658
23,200,0.72,320,92.01693882
24,200,0.8,320,91.59388398
25,200,0.4,360,93.21706559
26,200,0.48,360,93.23908364
27,200,0.56,360,92.98417727
28,200,0.64,360,92.53482026
29,200,0.72,360,91.98525821
30,200,0.8,360,91.40314284
31,200,0.4,400,93.15716195
32,200,0.48,400,92.7052885
33,200,0.56,400,92.11420402
34,200,0.64,400,91.50923204
35,200,0.72,400,90.99325918
36,200,0.8,400,90.59531384
37,240,0.4,200,91.24754515
38,240,0.48,200,90.94994218
39,240,0.56,200,90.68359071
40,240,0.64,200,90.47128977
41,240,0.72,200,90.31590154
42,240,0.8,200,90.21038476
43,240,0.4,240,90.14562905
44,240,0.48,240,90.08838688
45,240,0.56,240,90.0916222
46,240,0.64,240,90.13005023
47,240,0.72,240,90.1754902
48,240,0.8,240,90.20281333
49,240,0.4,280,90.47644245
50,240,0.48,280,90.72297783
51,240,0.56,280,90.92949787
52,240,0.64,280,91.04978784
53,240,0.72,280,91.05652637
54,240,0.8,280,90.9362753
55,240,0.4,320,91.95007623
56,240,0.48,320,92.26375919
57,240,0.56,320,92.37039532
58,240,0.64,320,92.27068016
59,240,0.72,320,91.99174292
60,240,0.8,320,91.56878331
61,240,0.4,360,93.23808567
62,240,0.48,360,93.21980465
63,240,0.56,360,92.9318963
64,240,0.64,360,92.47072284
65,240,0.72,360,91.92551944
66,240,0.8,360,91.36294192
67,240,0.4,400,93.11101961
68,240,0.48,400,92.62022176
69,240,0.56,400,92.01658929
70,240,0.64,400,91.43197928
71,240,0.72,400,90.93978378
72,240,0.8,400,90.56808503
73,280,0.4,200,91.19797129
74,280,0.48,200,90.88738851
75,280,0.56,200,90.6226354
76,280,0.64,200,90.4216519
77,280,0.72,200,90.28102988
78,280,0.8,200,90.18887336
79,280,0.4,240,90.13431133
80,280,0.48,240,90.08720574
81,280,0.56,240,90.10241136
82,280,0.64,240,90.14935486
83,280,0.72,240,90.19745087
84,280,0.8,240,90.22291578
85,280,0.4,280,90.52195156
86,280,0.48,280,90.77959395
87,280,0.56,280,90.98580089
88,280,0.64,280,91.09615769
89,280,0.72,280,91.08909267
90,280,0.8,280,90.95771656
91,280,0.4,320,92.01798476
92,280,0.48,320,92.31455212
93,280,0.56,320,92.39302487
94,280,0.64,320,92.26650151
95,280,0.72,320,91.97180003
96,280,0.8,320,91.54704442
97,280,0.4,360,93.25787445
98,280,0.48,360,93.18976592
99,280,0.56,360,92.86227436
100,280,0.64,360,92.3841736
101,280,0.72,360,91.84493534
102,280,0.8,360,91.30261197
103,280,0.4,400,93.04558824
104,280,0.48,400,92.508902
105,280,0.56,400,91.89212831
106,280,0.64,400,91.32284666
107,280,0.72,400,90.86094404
108,280,0.8,400,90.52022374
109,320,0.4,200,91.13035956
110,320,0.48,200,90.80196648
111,320,0.56,200,90.54137625
112,320,0.64,200,90.35687677
113,320,0.72,200,90.24547503
114,320,0.8,200,90.17299266
115,320,0.4,240,90.12184388
116,320,0.48,240,90.09334396
117,320,0.56,240,90.12584748
118,320,0.64,240,90.18426846
119,320,0.72,240,90.23199103
120,320,0.8,240,90.2470524
121,320,0.4,280,90.58310019
122,320,0.48,280,90.86473615
123,320,0.56,280,91.07134929
124,320,0.64,280,91.1681713
125,320,0.72,280,91.13146976
126,320,0.8,280,90.97725497
127,320,0.4,320,92.10150485
128,320,0.48,320,92.38377482
129,320,0.56,320,92.42672796
130,320,0.64,320,92.26547478
131,320,0.72,320,91.94572369
132,320,0.8,320,91.52058591
133,320,0.4,360,93.27317095
134,320,0.48,360,93.14412406
135,320,0.56,360,92.76885258
136,320,0.64,360,92.27021972
137,320,0.72,360,91.74756763
138,320,0.8,360,91.24164895
139,320,0.4,400,92.95490349
140,320,0.48,400,92.36007495
141,320,0.56,400,91.7310338
142,320,0.64,400,91.1828891
143,320,0.72,400,90.77247287
144,320,0.8,400,90.47741783
145,360,0.4,200,91.0298888
146,360,0.48,200,90.67873399
147,360,0.56,200,90.42945352
148,360,0.64,200,90.28129254
149,360,0.72,200,90.19600878
150,360,0.8,200,90.14692776
151,360,0.4,240,90.12468549
152,360,0.48,240,90.12303789
153,360,0.56,240,90.18266387
154,360,0.64,240,90.2587212
155,360,0.72,240,90.30344485
156,360,0.8,240,90.30364798
157,360,0.4,280,90.69960333
158,360,0.48,280,91.01178524
159,360,0.56,280,91.21888691
160,360,0.64,280,91.29039078
161,360,0.72,280,91.22418434
162,360,0.8,280,91.0354069
163,360,0.4,320,92.23337997
164,360,0.48,320,92.49073953
165,360,0.56,320,92.48480891
166,360,0.64,320,92.27417799
167,360,0.72,320,91.93235601
168,360,0.8,320,91.49613436
169,360,0.4,360,93.28480644
170,360,0.48,360,93.07103505
171,360,0.56,360,92.63541104
172,360,0.64,360,92.12026439
173,360,0.72,360,91.61828948
174,360,0.8,360,91.1466188
175,360,0.4,400,92.81537698
176,360,0.48,400,92.14814216
177,360,0.56,400,91.51125144
178,360,0.64,400,91.00815557
179,360,0.72,400,90.65173019
180,360,0.8,400,90.40700463
181,400,0.4,200,91.16986076
182,400,0.48,200,90.79926212
183,400,0.56,200,90.56133058
184,400,0.64,200,90.43818799
185,400,0.72,200,90.35823532
186,400,0.8,200,90.30070376
187,400,0.4,240,90.54555398
188,400,0.48,240,90.61369205
189,400,0.56,240,90.69968836
190,400,0.64,240,90.75547229
191,400,0.72,240,90.73547972
192,400,0.8,240,90.63045174
193,400,0.4,280,91.34566199
194,400,0.48,280,91.71032869
195,400,0.56,280,91.87514296
196,400,0.64,280,91.8482741
197,400,0.72,280,91.66120894
198,400,0.8,280,91.34218247
199,400,0.4,320,92.81510897
200,400,0.48,320,92.99807428
201,400,0.56,320,92.85784765
202,400,0.64,320,92.52168623
203,400,0.72,320,92.08404495
204,400,0.8,320,91.60065337
205,400,0.4,360,93.52326903
206,400,0.48,360,93.13906874
207,400,0.56,360,92.57496151
208,400,0.64,360,92.0102641
209,400,0.72,360,91.50574359
210,400,0.8,360,91.09099386
211,400,0.4,400,92.75042095
212,400,0.48,400,91.97591735
213,400,0.56,400,91.32802435
214,400,0.64,400,90.88080249
215,400,0.72,400,90.58371232
216,400,0.8,400,90.4043118
