label,Pitch,Duty,Height,T
1,200,0.4,200,93.27797776
2,200,0.48,200,93.11286061
3,200,0.56,200,92.79891912
4,200,0.64,200,92.37886252
5,200,0.72,200,91.89483989
6,200,0.8,200,91.37072912
7,200,0.4,240,92.59000754
8,200,0.48,240,92.32031034
9,200,0.56,240,91.96377765
10,200,0.64,240,91.56345979
11,200,0.72,240,91.16416871
12,200,0.8,240,90.78348944
13,200,0.4,280,91.48208606
14,200,0.48,280,91.19005275
15,200,0.56,280,90.89050367
16,200,0.64,280,90.61243513
17,200,0.72,280,90.38396968
18,200,0.8,280,90.2073521
19,200,0.4,320,90.46949946
20,200,0.48,320,90.27407227
21,200,0.56,320,90.1274594
22,200,0.64,320,90.03388873
23,200,0.72,320,89.99061312
24,200,0.8,320,89.98099128
25,200,0.4,360,89.99727097
26,200,0.48,360,89.99516064
27,200,0.56,360,90.04560383
28,200,0.64,360,90.12468993
29,200,0.72,360,90.19833239
30,200,0.8,360,90.23626349
31,200,0.4,400,90.26481291
32,200,0.48,400,90.47910951
33,200,0.56,400,90.68530916
34,200,0.64,400,90.84085203
35,200,0.72,400,90.89725014
36,200,0.8,400,90.82835146
37,240,0.4,200,93.27300776
38,240,0.48,200,93.09554598
39,240,0.56,200,92.77310646
40,240,0.64,200,92.35329939
41,240,0.72,200,91.87243171
42,240,0.8,200,91.35553751
43,240,0.4,240,92.5767713
44,240,0.48,240,92.29681178
45,240,0.56,240,91.93484639
46,240,0.64,240,91.54023926
47,240,0.72,240,91.14615247
48,240,0.8,240,90.77264442
49,240,0.4,280,91.4646623
50,240,0.48,280,91.16786316
51,240,0.56,280,90.86762141
52,240,0.64,280,90.59769241
53,240,0.72,280,90.37433789
54,240,0.8,280,90.20258775
55,240,0.4,320,90.45615587
56,240,0.48,320,90.26143405
57,240,0.56,320,90.11793829
58,240,0.64,320,90.03016253
59,240,0.72,320,89.989608
60,240,0.8,320,89.98109034
61,240,0.4,360,89.99551862
62,240,0.48,360,89.99764495
63,240,0.56,360,90.05163243
64,240,0.64,360,90.13013091
65,240,0.72,360,90.20199498
66,240,0.8,360,90.23742533
67,240,0.4,400,90.27784457
68,240,0.48,400,90.49551119
69,240,0.56,400,90.7018277
70,240,0.64,400,90.84871354
71,240,0.72,400,90.8988196
72,240,0.8,400,90.8258979
73,280,0.4,200,93.26656824
74,280,0.48,200,93.07388547
75,280,0.56,200,92.74114501
76,280,0.64,200,92.3177637
77,280,0.72,200,91.83955744
78,280,0.8,200,91.32977347
79,280,0.4,240,92.56088459
80,280,0.48,240,92.26824195
81,280,0.56,240,91.89939942
82,280,0.64,240,91.50448681
83,280,0.72,240,91.11498314
84,280,0.8,240,90.74832886
85,280,0.4,280,91.44463584
86,280,0.48,280,91.14130335
87,280,0.56,280,90.83997369
88,280,0.64,280,90.57319691
89,280,0.72,280,90.35529521
90,280,0.8,280,90.18896977
91,280,0.4,320,90.44115484
92,280,0.48,320,90.24701205
93,280,0.56,320,90.10686015
94,280,0.64,320,90.02370826
95,280,0.72,320,89.98717126
96,280,0.8,320,89.98154552
97,280,0.4,360,89.99401582
98,280,0.48,360,90.0010361
99,280,0.56,360,90.05939285
100,280,0.64,360,90.1401769
101,280,0.72,360,90.21235024
102,280,0.8,360,90.24741657
103,280,0.4,400,90.2934585
104,280,0.48,400,90.51528711
105,280,0.56,400,90.72165697
106,280,0.64,400,90.86532709
107,280,0.72,400,90.91099124
108,280,0.8,400,90.8355036
109,320,0.4,200,93.25903828
110,320,0.48,200,93.04685716
111,320,0.56,200,92.70184797
112,320,0.64,200,92.27378561
113,320,0.72,200,91.80368333
114,320,0.8,200,91.30728369
115,320,0.4,240,92.54481251
116,320,0.48,240,92.23342864
117,320,0.56,240,91.85639603
118,320,0.64,240,91.46078642
119,320,0.72,240,91.08444187
120,320,0.8,240,90.73106069
121,320,0.4,280,91.42463071
122,320,0.48,280,91.10951366
123,320,0.56,280,90.80669365
124,320,0.64,280,90.54367168
125,320,0.72,280,90.33850976
126,320,0.8,280,90.18098534
127,320,0.4,320,90.4260196
128,320,0.48,320,90.23018871
129,320,0.56,320,90.09429815
130,320,0.64,320,90.01651197
131,320,0.72,320,89.98614678
132,320,0.8,320,89.98233623
133,320,0.4,360,89.99254201
134,320,0.48,360,90.00610383
135,320,0.56,360,90.06978311
136,320,0.64,360,90.15331293
137,320,0.72,360,90.22155875
138,320,0.8,360,90.2518045
139,320,0.4,400,90.30945051
140,320,0.48,400,90.53977129
141,320,0.56,400,90.74652457
142,320,0.64,400,90.88587122
143,320,0.72,400,90.91848208
144,320,0.8,400,90.8356873
145,360,0.4,200,93.24658801
146,360,0.48,200,93.01214102
147,360,0.56,200,92.65287142
148,360,0.64,200,92.22260436
149,360,0.72,200,91.75804066
150,360,0.8,200,91.27150233
151,360,0.4,240,92.5208131
152,360,0.48,240,92.18966005
153,360,0.56,240,91.80314663
154,360,0.64,240,91.41227608
155,360,0.72,240,91.04202138
156,360,0.8,240,90.69928882
157,360,0.4,280,91.39665326
158,360,0.48,280,91.070527
159,360,0.56,280,90.76603657
160,360,0.64,280,90.51236045
161,360,0.72,280,90.31336553
162,360,0.8,280,90.16409775
163,360,0.4,320,90.4062574
164,360,0.48,320,90.21017865
165,360,0.56,320,90.07932061
166,360,0.64,320,90.01047547
167,360,0.72,320,89.98420563
168,360,0.8,320,89.98368852
169,360,0.4,360,89.99176437
170,360,0.48,360,90.01284307
171,360,0.56,360,90.08310351
172,360,0.64,360,90.16878165
173,360,0.72,360,90.23713155
174,360,0.8,360,90.26458346
175,360,0.4,400,90.33132363
176,360,0.48,400,90.56957136
177,360,0.56,400,90.77710397
178,360,0.64,400,90.90793151
179,360,0.72,400,90.9360928
180,360,0.8,400,90.84633594
181,400,0.4,200,93.22931762
182,400,0.48,200,92.96812649
183,400,0.56,200,92.59209443
184,400,0.64,200,92.15993448
185,400,0.72,200,91.70072872
186,400,0.8,200,91.23864895
187,400,0.4,240,92.48995939
188,400,0.48,240,92.13529914
189,400,0.56,240,91.7378851
190,400,0.64,240,91.35071801
191,400,0.72,240,90.98967588
192,400,0.8,240,90.67307657
193,400,0.4,280,91.36269917
194,400,0.48,280,91.02360466
195,400,0.56,280,90.71761827
196,400,0.64,280,90.47243134
197,400,0.72,280,90.28343099
198,400,0.8,280,90.15255726
199,400,0.4,320,90.38413765
200,400,0.48,320,90.18818056
201,400,0.56,320,90.0637326
202,400,0.64,320,90.00361276
203,400,0.72,320,89.98401362
204,400,0.8,320,89.98719347
205,400,0.4,360,89.99356502
206,400,0.48,360,90.02413357
207,400,0.56,360,90.10244903
208,400,0.64,360,90.19162756
209,400,0.72,360,90.25905611
210,400,0.8,360,90.27581867
211,400,0.4,400,90.36019689
212,400,0.48,400,90.60847778
213,400,0.56,400,90.81745462
