label,Pitch,Duty,Height,T
1,200,0.4,200,90.53227894
2,200,0.48,200,90.77419402
3,200,0.56,200,90.97631333
4,200,0.64,200,91.10085475
5,200,0.72,200,91.10705516
6,200,0.8,200,90.99280964
7,200,0.4,240,92.58129265
8,200,0.48,240,92.81074341
9,200,0.56,240,92.78179963
10,200,0.64,240,92.54457741
11,200,0.72,240,92.15409229
12,200,0.8,240,91.66198478
13,200,0.4,280,93.37422257
14,200,0.48,280,92.95988068
15,200,0.56,280,92.38792721
16,200,0.64,280,91.7889239
17,200,0.72,280,91.27153023
18,200,0.8,280,90.84867204
19,200,0.4,320,91.56792105
20,200,0.48,320,90.96510534
21,200,0.56,320,90.53859526
22,200,0.64,320,90.29758528
23,200,0.72,320,90.21641239
24,200,0.8,320,90.21725694
25,200,0.4,360,90.20184477
26,200,0.48,360,90.31206413
27,200,0.56,360,90.57989679
28,200,0.64,360,90.85992024
29,200,0.72,360,91.02665374
30,200,0.8,360,91.02442694
31,200,0.4,400,91.46304211
32,200,0.48,400,92.0920796
33,200,0.56,400,92.42752424
34,200,0.64,400,92.42146724
35,200,0.72,400,92.12326174
36,200,0.8,400,91.63684026
37,240,0.4,200,90.62759224
38,240,0.48,200,90.89744997
39,240,0.56,200,91.10347759
40,240,0.64,200,91.20067
41,240,0.72,200,91.1746473
42,240,0.8,200,91.02804855
43,240,0.4,240,92.69476932
44,240,0.48,240,92.87276162
45,240,0.56,240,92.78106212
46,240,0.64,240,92.49296633
47,240,0.72,240,92.08321171
48,240,0.8,240,91.60211226
49,240,0.4,280,93.28269825
50,240,0.48,280,92.77542601
51,240,0.56,280,92.1678261
52,240,0.64,280,91.59987526
53,240,0.72,280,91.13072547
54,240,0.8,280,90.76810002
55,240,0.4,320,91.38561956
56,240,0.48,320,90.79135699
57,240,0.56,320,90.42353473
58,240,0.64,320,90.25695262
59,240,0.72,320,90.21796631
60,240,0.8,320,90.23455884
61,240,0.4,360,90.22271294
62,240,0.48,360,90.41338006
63,240,0.56,360,90.72362019
64,240,0.64,360,90.98866965
65,240,0.72,360,91.11368308
66,240,0.8,360,91.06375071
67,240,0.4,400,91.67480429
68,240,0.48,400,92.27597323
69,240,0.56,400,92.51833199
70,240,0.64,400,92.41173041
71,240,0.72,400,92.05949192
72,240,0.8,400,91.56990875
73,280,0.4,200,90.87614095
74,280,0.48,200,91.19766005
75,280,0.56,200,91.40711502
76,280,0.64,200,91.46641691
77,280,0.72,200,91.38043002
78,280,0.8,200,91.16810698
79,280,0.4,240,92.89942304
80,280,0.48,240,92.98449845
81,280,0.56,240,92.78847867
82,280,0.64,240,92.42824664
83,280,0.72,240,91.99296187
84,280,0.8,240,91.5252257
85,280,0.4,280,93.07892387
86,280,0.48,280,92.43674163
87,280,0.56,280,91.79272392
88,280,0.64,280,91.27026959
89,280,0.72,280,90.88852722
90,280,0.8,280,90.61903123
91,280,0.4,320,91.10516769
92,280,0.48,320,90.55644979
93,280,0.56,320,90.29658703
94,280,0.64,320,90.23365952
95,280,0.72,320,90.25821447
96,280,0.8,320,90.29261473
97,280,0.4,360,90.34500315
98,280,0.48,360,90.66341092
99,280,0.56,360,91.02609162
100,280,0.64,360,91.26226097
101,280,0.72,360,91.31259336
102,280,0.8,360,91.18162199
103,280,0.4,400,92.03921359
104,280,0.48,400,92.55742157
105,280,0.56,400,92.63666651
106,280,0.64,400,92.38532998
107,280,0.72,400,91.95851709
108,280,0.8,400,91.46422503
109,320,0.4,200,83.02050469
110,320,0.48,200,83.37500414
111,320,0.56,200,84.24944417
112,320,0.64,200,85.28388563
113,320,0.72,200,86.30365812
114,320,0.8,200,87.27082179
115,320,0.4,240,85.04981788
116,320,0.48,240,85.11100432
117,320,0.56,240,85.62515012
118,320,0.64,240,86.35296607
